epoch,train_reward
0,0.0028740015297539926
1,0.0024663972006620546
2,0.002331100447152398
3,0.002248457430763856
4,0.0022402536491618343
5,0.0022528248373419046
6,0.00218539203419105
7,0.002165885439975873
8,0.0021041565586959847
9,0.0020852033232681847
10,0.0020790095441043377
11,0.002091627610896371
12,0.002066159927237191
13,0.0020590764102771096
14,0.0021534290556844914
15,0.002124926804466859
16,0.002085543157973964
17,0.0020423918643868283
18,0.0020464884399093294
19,0.0020373495736796606
