epoch,train_loss,test_loss
0,3.3040651827333063,10.263637821411209
1,1.1329147735338532,4.118988176452675
2,0.7849075626312826,1.3442827406834599
3,0.5244605758169106,0.5111666497054905
4,0.356646091535233,0.22833637058435874
5,0.2463900385899873,0.1205462906821117
6,0.17417734534887785,0.07840383369911674
7,0.12564705662058598,0.05454977557225072
8,0.09266737582428115,0.039654864386085384
9,0.07066269107103157,0.03170758774223734
10,0.05623031679965424,0.02497506135510885
11,0.04592607230139391,0.021483697634140483
12,0.03870966053608189,0.019149747705959206
13,0.033364098453311244,0.016795476395512206
