epoch,train_loss,test_loss
0,1.5974855588912964,0.7277413038788615
1,0.2314576150417328,0.05136528008340581
2,0.07362387098414558,0.012444597846715132
3,0.029865101827042443,0.004778144826854554
4,0.016473399368034942,0.002860113686757678
5,0.011035828960899796,0.0020397870966179826
6,0.008116784456957665,0.0016412737747265743
7,0.0063419733351894785,0.001277302731978125
8,0.005220284816063941,0.001101334036885984
9,0.00436638901066035,0.0009346886699121742
10,0.003805619421175548,0.0008199265821531299
11,0.003334047427800085,0.0007271805238200908
12,0.002963457138556987,0.0006518752729789412
13,0.0026805962956776576,0.0005731192060945457
