epoch,train_loss,test_loss
0,1.5213803582721286,0.7057764725043223
1,0.8637602871114557,0.5541952452980555
2,0.7310153389418567,0.4648864979927356
3,0.6400002559226772,0.36853717496761906
4,0.5561533362576456,0.2603154325714478
5,0.46310935442897205,0.18357046435658747
6,0.3677580389209869,0.13431471285338586
7,0.28521289044257364,0.09655118088882703
8,0.2205048129965962,0.06749287613022786
9,0.17132079011763787,0.048673559696628496
10,0.1334439022121606,0.034183725678863436
11,0.10471479898249661,0.024504731695812482
12,0.08163825731711957,0.01678384208263686
13,0.0644207143786078,0.012085269912719153
14,0.0507850304484267,0.008861928461835934
15,0.04064401558691303,0.006630037118716596
16,0.033029510739952424,0.005170085283820159
17,0.027342837708390723,0.0040857882391159926
18,0.022962615911469416,0.003330425052599122
19,0.019297926398213663,0.00277627494562274
20,0.01662166492452199,0.002314675184047351
21,0.014253654540751618,0.0020057369793693605
22,0.012464903951983158,0.0017997378051334706
23,0.011006306594250228,0.001580356616334309
24,0.009796778361002604,0.0014448545597798119
25,0.008737276779779356,0.0012960028297339494
26,0.007901035941845614,0.001223809943229963
27,0.007275871608346726,0.0011099077452784583
28,0.006757134423898502,0.0010225535084968074
29,0.0061269533092952536,0.0009654041079137152
